latitude_gps,longitude_gps
7.1142931,3.3238605
6.5578572,3.3768426
,
,
7.2108393,5.2191494
,
4.7531198,7.0123508
,
,
6.6778432,3.1260613
,
6.4939532,3.3813132
6.733155,3.5410367
6.5212034,3.3016329
6.6105681,3.5541342
6.627701,3.3232994
6.6348512,3.3484849
5.0481816,8.3163457
6.6627479,3.2972894
8.9752501,7.4881394
10.4446483,7.4527967
6.8397571,3.4446285
,
9.08262,7.4654217
,
,
,
,
6.6736015,3.3572047
4.8309534,6.992216
6.5081435,3.3527862
,
6.541528,3.3822099
7.1453259,3.3333825
6.5525789,3.3960986
,
9.0768353,7.4450653
6.5193908,3.2663346
6.462774,3.2518396
6.6156295,3.3576273
6.5798375,3.2701279
6.6848185,3.2858723
,
9.1514167,7.34362
,
6.6100043,3.2949539
9.0236601,7.6066558
7.2298362,5.2071219
6.4966842,3.5930051
,
6.4275138,3.4823154
6.438789,3.4905746
6.6744999,3.1270017
,
,
4.8300052,7.027062
,
6.5972101,3.3473632
6.6020294,3.2975096
10.5292298,7.4026336
7.757783,4.5306913
7.3898717,3.9787919
6.4882979,3.3248839
6.5692471,3.3670765
6.6151351,3.4787141
6.6492708,3.3137109
4.8364665,7.0257568
6.5925733,3.2872317
6.5477946,3.3767344
9.005805,7.4572617
6.42786,3.4617967
6.6263662,3.3029379
12.9773078,7.6116831
6.4489034,3.3982718
6.495763,3.3271381
5.0372535,7.9117961
6.7377853,6.1429231
6.4357419,3.3603715
,
6.4301778,3.4258698
7.6360513,5.2199203
4.9024769,7.1125429
,
7.3814232,3.8682345
6.5888607,3.3625978
4.8116446,7.0441028
6.4498967,3.3989022
,
6.507412,3.3288985
6.5310263,3.3768682
6.703723,3.3535331
,
6.4816779,3.6128002
6.4515404,3.5141362
6.5422168,3.3528548
7.430623,3.9234333
,
7.4250565,4.0079063
8.4867694,4.5816276
,
6.5544168,3.3446901
6.4972031,3.3496532
9.1070126,7.421629
,
6.7510385,3.4168724
7.4893858,4.5284322
11.9796196,8.5394608
9.1122137,7.4102541
,
6.5737625,3.3922637
7.2125532,5.2131294
6.6288104,3.3702298
11.0985096,7.7275822
6.6630858,3.296138
4.9358492,6.2745432
,
6.5161968,3.3394033
7.4352078,4.5635709
,
,
,
,
8.1547883,4.7085967
4.898885,7.0088917
8.9442269,7.4208995
,
6.6247868,3.3695493
7.1090767,4.84996
12.9694333,7.635235
,
9.0298283,7.4390367
4.917465,6.2782537
6.5914979,3.2601517
6.4471929,7.4859826
8.1254661,5.0900434
,
,
8.9922228,7.3714081
6.5025448,3.3789046
6.1490754,6.8059757
6.4958469,3.3591107
7.1478018,3.328249
4.8042933,7.0345541
9.0437886,7.3924883
6.5057367,3.3547928
6.6290094,3.3831598
6.5244783,3.3880267
6.6094302,3.3724461
7.3447282,3.8735138
,
6.4343754,3.4828186
9.1729561,7.3285343
7.1455067,3.363275
4.8284355,7.0572978
6.5320555,3.4011087
10.4332387,7.5184632
7.2337921,5.2130444
6.5076242,3.3687831
7.4449291,3.9016131
,
12.0201587,8.5400021
6.679045,3.3556068
,
10.4378213,7.4100712
7.1355911,3.2904606
,
,
,
6.5257731,3.3447162
,
6.6530791,3.3397609
6.6524389,3.2979806
6.6025624,3.3677065
7.8167772,4.5846874
6.5494327,3.3776402
6.7474166,3.2619772
6.7710281,3.9666551
,
,
5.9319564,5.6554867
6.6468445,3.3671743
,
6.606437,3.3233638
7.2669269,5.2015712
6.7387095,3.4194295
7.7271169,8.5349133
,
5.5684,5.8384067
6.8265559,3.4667184
,
6.5083978,3.3920415
6.5455431,3.3255134
11.2571687,14.1305626
,
7.2668376,5.2529372
11.9322772,8.5605562
6.530161,3.3913437
9.8824985,8.8464408
8.4692431,4.5000978
6.6229127,3.4976144
4.9354937,8.3305756
6.5184152,3.354724
,
,
6.451964,3.3918442
6.5247326,3.3678461
,
10.5001621,7.4327056
6.6017004,3.3808276
8.4117766,4.6119802
6.6834544,3.2902753
6.8204492,3.917573
,
4.9890161,8.3332804
7.4366732,3.9114533
7.7805084,3.9233057
6.6235908,3.3611097
6.6701801,3.3292904
7.7837704,4.5661847
6.6139087,3.4025775
,
6.686271,3.3182749
,
7.4220429,3.9040904
10.446635,7.4826001
6.622821,3.3833472
6.6103735,3.2858263
,
6.5025745,3.3296052
6.481405,3.3033117
,
6.5116812,3.3771647
10.4847245,7.430362
6.4636791,3.3255134
5.7144113,6.4239287
6.5675276,3.3919558
9.0274759,7.469311
7.3994877,3.8844632
7.4266477,3.8770953
6.4071383,5.628345
9.1424705,7.3238097
9.087736,7.5160943
6.6348152,3.3645545
9.0277413,7.5851805
,
6.418329,2.9913855
6.729057,3.4080441
7.3964165,3.9456262
6.435565,7.5005417
6.646284,3.3607768
,
6.6926761,3.3582571
6.6076605,3.2519197
6.5711267,3.3759467
,
7.4148631,3.8612355
6.4324727,3.4436583
6.5682135,3.5656116
7.45945,3.9622183
,
6.5211407,3.2924702
6.4590075,3.3314296
,
,
11.9926333,8.559375
,
7.8378889,5.0376865
6.4425101,3.4169318
6.4420573,3.418587
,
6.6632035,3.5185102
9.0684754,7.4808491
7.1680725,5.5848005
8.9866701,7.3586797
,
6.4945495,3.1257478
4.8005818,7.0426503
,
,
6.5415485,3.3720348
5.5935137,7.1048555
5.5649883,5.7550617
6.6791029,3.137974
7.4133599,3.8005112
6.4596443,3.4329564
,
,
6.5978906,3.3546256
7.7122482,8.5774688
7.1328251,3.329671
,
7.3601827,3.8677027
7.2626867,5.2143903
7.3144128,3.8527746
,
6.506735,3.3547928
9.0644283,7.469935
,
4.9696443,8.3475513
6.66905,3.3524577
6.6664043,3.2871067
6.6174485,3.3582277
6.5343977,3.2472059
7.1524047,3.3088565
6.6308698,3.3511981
9.9575748,8.8621398
6.5184153,3.3619079
9.0935249,7.498351
6.5574427,3.2368372
,
12.9641206,7.6320502
7.1381618,3.3502377
7.8053065,4.534955
6.6157686,3.4988704
6.6570189,3.3516668
7.7981312,4.5602035
6.2222471,6.6851048
,
,
6.6155848,3.3627356
,
7.0627433,4.8338633
4.8726409,6.9918949
,
4.841691,7.0580788
4.8052131,7.0389223
,
,
6.5421259,3.3482936
6.5923106,3.3056888
,
5.5569582,5.800065
6.5919267,3.2876945
9.0579825,7.4498179
6.596244,3.3882952
9.0067811,7.6496759
6.4290849,3.5504369
,
,
6.4234107,2.8918544
,
4.8842043,6.9949171
,
,
5.5502412,5.8342299
,
7.4001318,3.8079132
6.6176325,3.4753546
6.507018,3.3514638
6.4432156,3.4586515
7.7239588,8.536913
,
,
6.6813469,3.1758383
,
7.120685,3.381785
8.9956532,7.3585044
10.4688264,7.413633
,
,
8.9763774,7.5617945
6.6510071,3.3534826
5.0117017,7.9406683
8.8554952,7.9074528
4.8522233,6.9804583
6.4368689,3.5071366
6.2415877,6.6898721
7.4046372,3.9510228
8.9924654,7.3592521
,
6.5958022,3.2814697
6.6614073,3.2846961
,
4.8623596,6.9800003
,
6.6755083,3.3607367
6.2703713,5.629202
,
,
7.3372191,3.8556429
7.1170107,3.3349416
7.3473618,3.871098
7.1874492,3.3560565
6.4287105,3.5150748
8.5524512,4.5545448
9.0590862,7.4683637
,
8.7182104,5.7529013
6.5519213,3.3288576
10.3173965,9.8062114
6.4397212,3.4787141
5.4964304,5.7971047
6.6798913,3.3078002
6.4473775,3.3711733
,
6.6683917,3.3064117
9.643943,6.5226089
6.62935,3.3901783
6.5766607,3.3636987
6.4534188,3.4455849
9.0468853,7.5336459
9.0468853,7.5336459
6.633217,3.3487614
7.3741253,3.8545554
5.0200622,7.9308911
7.177822,3.3976564
6.3245244,8.113206
29.4255413,-98.4953943
8.9167266,7.5650486
6.6663538,3.5227013
7.4446011,5.7616084
4.7325129,7.0765683
6.1125823,6.7654346
8.9181002,7.129383
,
7.4251199,3.9906063
,
,
4.8274278,7.0681633
6.4898933,3.3768003
10.5241379,7.4319846
6.4568867,3.3472352
,
,
6.4304949,3.4250419
6.5354983,3.3729167
,
54.5930709,-3.5600504
6.6925533,3.3435
,
6.4303774,3.4581081
6.464175,3.4272868
6.2766138,5.5920589
,
6.6561527,3.2989295
,
6.4322547,3.3420954
,
,
,
6.6424853,3.3628497
8.4689955,4.5256511
6.4972875,3.2929328
7.2477267,5.203305
6.3106117,5.6153833
6.432887,3.5061889
8.1560615,4.710238
6.5328119,3.36992
6.508595,3.3288
8.9250223,7.5604399
,
,
,
8.9826828,7.5814258
6.6164624,3.3716345
9.0635319,7.4417198
,
5.4843285,6.0077345
8.8903127,7.5918435
9.1344039,7.3660052
,
6.508765,3.3497543
7.3261644,3.8754742
,
6.4938396,3.3243648
9.0089998,7.3678434
12.0155955,8.5619725
,
6.6341039,3.3371601
7.3880557,3.8785952
6.6499933,3.3372953
6.6465445,3.2457042
,
6.620715,3.9813056
9.8838537,4.5100005
6.4271847,3.4286341
7.7643589,4.5347186
,
6.5969222,3.3639265
6.0378505,6.9324867
4.8054935,7.0025486
5.5905122,5.8247251
8.9973983,7.4473983
,
7.4837879,4.5603543
7.4711703,5.226981
,
6.697984,3.8647349
,
6.6985546,3.227413
,
6.5085536,3.3738595
6.5119583,3.32143
6.59378,3.3401411
6.6524991,3.2860259
6.676594,3.5118753
7.7407505,4.5822726
7.1541192,3.374589
,
,
,
7.4395924,3.9102958
6.5414733,3.3708865
,
7.5189141,4.513617
6.5031006,3.3784965
6.6277907,3.322697
7.7962433,4.5558341
9.053175,7.463155
,
6.5070014,3.3141841
,
7.5522745,6.2344421
,
8.9722934,7.4930864
,
6.6404866,3.2798974
9.652549,6.5118088
7.1274982,3.3359009
8.4774533,4.52556
,
,
6.6304903,3.5232499
6.4345256,3.4555179
6.5017109,3.37701
9.8835268,8.8729804
,
,
8.8458232,7.914859
6.4551169,3.4294278
5.744543,7.0832931
8.472017,4.6281488
,
6.5548277,3.4845443
7.3994886,3.9429355
7.3632383,3.8261355
6.6374962,3.3556253
,
6.6511226,3.3027339
,
,
6.5831683,3.3957083
,
6.4284883,3.4132916
9.1063045,7.4852216
,
6.6357817,3.3744114
,
6.5331441,3.3616175
9.0683584,7.3951637
6.3376363,5.6301086
8.9998157,7.3582507
,
6.5892969,3.5837272
6.4896021,3.3555608
7.1278633,3.2859833
6.5242055,3.3803085
,
6.8608374,7.4123168
6.4455196,3.5432242
7.6454715,4.7253357
6.5884353,3.3360495
5.8849499,5.7074437
7.1022301,3.2990824
6.6085236,3.373377
9.0371033,7.4215817
4.8311956,6.9838364
6.6644824,3.6019685
7.4121664,3.9765229
6.4721045,3.7899833
4.8133755,7.0271623
6.6256812,3.3933228
6.6719915,3.3078912
6.6168343,3.361269
7.2520945,5.1843213
10.4560748,7.4518268
8.4818785,4.5533716
10.5545265,7.4660655
9.0681703,7.4829383
6.71411,3.3673347
4.8043787,6.9949171
,
6.6146493,3.3359223
6.4437076,3.2770675
,
6.6012417,3.5876067
11.0762045,7.7075583
,
6.4252771,3.418513
,
6.5626102,3.2619772
6.545471,3.2340097
,
9.03728,7.5719133
,
6.6523416,3.4924266
6.5875133,3.3620081
,
6.4998413,3.094886
6.6062156,3.494862
,
7.384173,3.8294268
6.5877336,3.3569897
,
4.7569435,7.0120454
7.3621397,3.892071
6.5954012,3.3421974
,
,
29.862125,-95.6936983
,
8.9772529,7.3656675
9.51107,8.170395
,
,
6.5953831,3.3402395
6.5770733,3.3422783
6.6348355,3.3262112
8.5142394,4.5597517
9.0671379,7.4325582
6.6344689,3.3324381
6.5901441,3.2353934
8.487176,4.6184512
,
7.1172055,3.3350952
6.5326003,3.3746529
5.4999437,7.0463604
7.7448213,4.5178112
,
6.6099142,3.2641776
4.8284243,7.0029769
6.6969433,3.5391317
6.3072516,5.6056821
6.6682167,3.3359283
7.3046694,5.1426208
,
6.5037276,3.3552557
10.4413537,7.40521
6.4489888,2.9569726
9.0004485,7.4494827
6.7629986,3.4255628
6.7218437,3.3888166
6.6421555,3.3322974
,
,
,
6.681925,3.3018467
6.6053181,3.3295494
6.4541655,3.388147
7.4201912,3.9316231
6.6483286,3.3547229
6.122153,7.036194
7.4038823,3.9450385
6.6631324,3.2855277
6.6451342,3.3227577
,
8.8847742,7.2243323
4.8410375,6.996932
5.0262751,8.3355696
6.5034967,3.33486
,
7.3597592,4.1566735
6.8391665,3.4335873
7.4309543,3.8335668
6.6053783,3.2130683
4.8608533,6.9678936
,
5.569845,5.8329
6.4494246,3.4555441
7.3291277,3.8762391
6.6217712,3.3567907
6.7081212,3.2953077
6.4247056,3.5224291
5.12615,7.387535
5.1512848,7.3692661
6.5445045,3.2444416
,
6.5025684,3.3040135
6.4512933,3.3888166
6.6316306,3.503346
4.9602983,8.3271529
9.5464341,11.9474106
,
6.5258861,3.3581026
6.5385394,3.3712608
6.6063629,3.3164923
9.0528535,7.4769949
,
6.494146,3.5842222
7.1418952,3.3895509
5.29944,-3.9771507
5.5291664,5.7584382
,
6.5507949,3.2789685
5.5631737,5.7460998
6.5670819,3.53783
9.1922974,7.1869398
7.7397348,4.5822726
9.0697017,7.4687583
,
6.5756123,3.3617217
6.556063,3.3960655
7.1632851,3.3598319
6.4520064,3.2267848
,
6.6626671,3.3073366
6.5540776,3.3941744
6.610393,3.3431419
6.445811,3.5118753
8.4660953,4.6066399
6.6848807,3.1740436
6.4982363,3.3314938
7.1217535,3.3380757
,
6.4325479,3.4313452
10.5244411,7.4190193
6.6001195,3.3421286
6.646694,3.3494394
6.4291903,3.259777
,
,
4.4322372,7.161013
,
4.8049884,7.0358433
7.3481839,3.8797852
9.0722611,7.4534318
6.619215,3.3004217
6.6100133,3.3058805
,
9.1255927,7.5113568
6.4449181,3.5153278
9.0549761,7.4853695
6.71504,3.2258263
,
,
7.4039218,7.6366627
6.6088749,3.6117229
10.5172644,7.4489327
7.1848124,3.4370313
7.3842693,3.8338577
6.5838011,3.366888
7.44045,3.9066
6.665704,3.256355
8.4723117,4.61952
7.1104346,4.8544943
4.8475044,7.0315505
6.685274,3.3670765
6.6659628,3.3113522
6.4435749,3.3491245
6.6181798,3.3581451
6.5494628,3.2666161
,
6.5281642,3.3856653
6.4627693,3.5551068
9.0544606,7.4822618
7.8085658,6.6928014
,
,
,
6.6182183,3.2579237
,
7.1983139,8.1213966
,
7.608215,5.2810367
,
,
7.3472463,3.9570657
6.6539918,3.3106822
7.1133162,3.3247985
6.5187057,3.3211912
,
6.7124403,3.1507443
12.4295094,4.1966622
12.4295094,4.1966622
7.3686207,3.8675982
,
6.6044041,3.4881865
7.3606739,3.8695569
4.8756624,7.0137495
,
4.8473896,7.0362342
6.532535,3.3100367
6.623713,3.3468908
6.6413993,3.3925985
7.1707476,3.3966958
6.4663605,3.663116
6.46178,3.6961814
6.6679387,3.3596272
,
6.4411578,3.4179771
,
6.437171,3.5115594
7.1273041,3.3160721
,
6.5907781,3.3991464
6.463117,3.5573894
,
9.0410868,7.3974155
7.4041474,3.9326406
6.6478201,3.3590799
,
6.2204357,6.6995938
,
7.9434651,3.6304822
6.6397855,3.3352713
6.507113,3.5794774
6.5485808,3.2682643
6.2735102,5.6265032
6.6810583,3.3551617
9.8574068,8.9064488
6.6093748,3.2956223
6.4678869,3.2928875
25.1994057,55.2779067
6.788085,3.451525
7.6314657,5.2124771
7.3976417,3.8123833
6.4638023,3.1483217
5.0281742,7.961045
,
,
6.6248323,3.3771577
6.5841631,3.3331366
,
7.1386478,3.3770088
6.5985672,3.3436996
6.6752449,3.2701505
6.5052941,3.3738527
6.0936423,6.889223
,
6.6975815,3.2307054
6.5881982,3.3839717
,
6.6705643,3.3217367
6.7431139,6.106382
6.6322851,3.3012114
,
,
5.518768,7.5007033
6.5383125,3.259777
,
6.2291379,7.0882491
6.6288365,3.3379051
6.5773593,3.3331999
8.4889655,4.6013742
,
,
6.4901309,3.3390598
,
7.3921217,3.8662067
6.4750742,3.606743
6.5525311,3.2236438
6.4660258,3.6634329
7.25231,5.2013799
8.1467367,4.7142583
4.8039405,7.0375782
6.6812441,3.321422
6.4718302,3.2475201
7.424237,3.9080199
6.5670766,3.2409216
6.5783462,3.4073319
7.3597055,3.9242613
6.5694416,3.3350749
10.3293467,9.8137117
,
,
6.5762069,3.3724319
6.6616686,3.2893872
,
7.4348994,4.0051237
,
6.4646954,3.2003973
6.5520052,3.3549433
6.6850323,3.1744966
6.6036358,3.3756652
,
,
9.0659942,7.4453912
,
6.4766087,3.3825141
6.6062324,3.3596781
6.5886546,3.3544779
6.3485193,5.6446639
6.5902533,3.3645565
,
9.2286167,7.3909433
,
7.3269898,3.8918491
,
7.0780884,4.8376434
8.4920407,4.5978342
6.5023528,3.3632966
6.631584,3.5099798
6.4327081,3.4687988
6.5636083,3.3380867
6.601713,3.387973
6.459956,3.3577651
4.923086,6.2931871
,
,
,
6.5310083,3.3675574
9.03107,7.5858414
9.0550469,7.4986897
6.4595756,3.3300698
6.7129567,3.4226633
5.1660883,6.2038683
9.0256327,7.4867543
,
4.87395,6.9997483
6.6220801,3.4866076
,
7.3968743,3.7999056
6.6179734,3.4845417
6.6706024,3.3345853
,
6.4443617,3.4009933
9.003295,7.3557845
6.596175,3.3360367
,
,
11.8218193,13.1246372
4.8055781,7.0490362
6.4411578,3.4179771
8.4876045,4.5110416
8.4928513,4.5880779
6.6650349,3.5398948
,
6.4364551,3.415634
7.6308228,4.7686731
,
6.8640474,7.4094827
10.4986991,7.4305821
,
8.989981,7.5668741
6.4437583,3.4062008
,
7.431383,3.9392333
9.1431239,7.3787104
7.1380483,3.3639265
6.7718149,3.210454
4.8310441,7.056823
6.4361152,3.4454016
6.245407,6.204584
6.648406,3.3428271
6.4625316,3.311516
6.809462,3.4363679
6.5849905,3.2401178
5.5161928,7.266803
6.6583682,8.8020085
,
,
6.4973131,3.3670083
6.4973131,3.3670083
25.2566582,55.2964349
,
5.0285225,7.9669489
6.6325165,3.3251987
10.5427875,7.4450653
6.5179845,3.372619
,
5.0289709,7.9036289
,
6.4543017,3.39077
6.6717025,3.2506626
6.5335334,3.2990927
,
,
8.487656,4.5918439
7.366232,5.105995
,
6.6113564,3.3549839
7.1403108,3.3304402
12.0318783,8.5377044
6.6420783,3.2047683
,
9.0505042,7.5077681
5.0117299,8.3316025
5.9092631,5.6534226
6.4316262,3.5057627
,
,
7.208444,5.1971885
6.4270613,3.4411905
6.6331944,3.2059653
4.7993339,7.0010413
,
,
,
8.9381767,7.3244783
6.6649115,3.3189043
,
,
6.4695305,3.5912357
,
5.0534162,7.9237562
7.4246501,3.979043
7.2558978,5.1789785
6.4274339,3.4696437
6.5532616,3.2923955
,
9.0516341,7.4970754
6.5257544,3.3475501
6.5777816,3.3859804
7.7542081,4.525736
9.1540788,7.3528051
,
6.4908529,3.5858567
4.932516,6.2858981
6.6352539,3.3684582
6.78619,3.9649517
6.5546844,3.3532182
,
,
9.0850067,7.31255
6.4469348,3.4146751
9.0628923,7.3956748
6.6304023,3.3421974
6.4948986,3.3330677
6.621898,3.3534249
6.6341039,3.3371601
9.067975,7.4657167
6.6001183,3.4915983
6.5771961,3.2666303
9.5963901,6.5718326
,
9.0757238,7.4733714
6.2324227,6.6983762
6.6477809,3.3760444
7.4051403,3.9598646
9.9094557,8.9607738
6.5205376,3.3420622
6.4369765,4.0476314
6.6826462,3.2814111
7.1353646,3.3215847
,
5.0253457,7.8941537
6.4749497,3.2798974
6.445712,3.4282253
8.447444,4.510403
,
6.6259536,3.2665549
9.1359768,7.3797224
7.7558688,8.5558787
7.1080983,3.3352067
,
,
,
6.4523837,3.5138697
7.8023329,6.7436543
6.6526631,3.320813
6.4901333,3.391155
6.5127049,3.3136964
10.4442426,7.4593825
7.4020525,3.9286039
6.436961,3.4515467
6.341564,5.650632
6.5063419,3.3639265
5.0061726,6.3856111
6.1781916,6.9533458
6.8680254,3.6072982
5.5475838,5.752097
7.3605793,3.8704173
,
7.1268308,3.3352713
6.6294756,3.2808408
9.082846,7.4904964
8.1396633,4.7175318
6.219925,6.68484
8.5216567,4.6122767
,
6.459944,3.3505856
,
6.5011327,3.083137
,
6.6378367,3.4993533
7.2338908,5.2304265
8.9920483,7.4284433
,
,
7.1132181,4.8549934
6.5551562,3.3759409
8.4715501,4.5961418
9.0695957,5.996465
9.8389917,8.8579
,
,
4.9254248,6.2953913
6.4526034,3.5542267
9.1634635,7.3221224
,
6.437699,3.5239511
6.74349,6.1437533
,
8.8816057,7.2287519
,
7.133975,3.3298149
,
,
8.1156957,4.2260932
,
6.5898901,3.2770964
,
7.6237409,4.1532063
6.4437749,3.422685
6.6135403,3.2856324
,
6.4738709,3.2924769
6.5076565,3.3617119
7.4985616,3.9068869
6.448118,3.3661315
6.4491564,3.410251
7.1299539,3.321422
6.4935849,3.3809387
6.9180192,3.21171
,
9.0259233,7.4349243
6.8144057,3.4354799
6.498891667,3.32765
,
,
6.6463647,3.3488096
6.6054112,3.3498134
7.1361493,3.3080397
6.5817606,3.2527086
6.4913326,3.5921009
6.4563602,3.5273884
,
6.7030917,3.3481798
5.5870138,5.7113318
9.0649421,7.3915108
7.4379649,3.9086961
4.4177358,7.1732091
6.4393645,3.4913882
6.5524916,3.3398543
25.3519975,56.3426381
7.0165899,3.0368301
6.538267,3.2148502
6.6060301,3.3592282
6.5129674,3.3179602
6.1923099,6.7432104
6.6497262,3.5182035
6.6691838,3.3068742
6.3400136,5.6326202
7.114615,4.827275
9.1435277,7.3734343
6.4615473,3.3048549
8.4724116,4.5219988
,
9.0498024,7.5224273
4.8775619,6.970669
6.4303154,3.4580687
9.1144497,7.2651172
6.6177577,3.3497045
9.0146773,7.4525519
,
6.518837,3.3416398
,
7.130435,3.3335369
,
7.2534991,5.2150865
6.5169079,3.3261429
7.3712861,3.8608847
5.8971187,5.6738989
4.9476346,6.3331693
7.3911236,3.9542096
10.4823786,7.4405391
8.4654047,4.5171601
6.3676265,5.6315017
7.401491667,3.900075
6.820936667,3.45199
9.1281608,7.400596
6.6730132,3.3544779
6.4746465,3.3267724
6.5338429,3.3737943
6.6317567,3.317033
6.5611885,3.3628632
7.4135671,3.9325431
9.2444268,7.386339
6.6000522,3.3444014
7.2703948,5.4363441
,
9.042188,7.5989326
,
6.6081703,3.2855669
,
6.7186856,3.2943914
,
,
,
6.2385599,6.7042028
9.0584171,7.4666546
,
6.4462193,3.4051083
9.0667255,7.4528411
,
,
8.9651347,7.3545254
10.4684494,7.4730606
8.9166446,7.5650036
9.0299974,7.4723423
5.0369405,8.3499849
6.5974092,3.340938
6.657842271,3.323272572
,
6.6889443,3.3502153
,
8.0916245,5.1612904
7.3828962,3.7982338
9.929415,8.84115
7.1335746,3.3270417
,
5.1663469,6.9160394
7.636659,5.2029258
10.5212622,7.4313268
6.5494467,3.3526536
,
6.4883057,3.2961535
,
6.421722,7.5330168
4.9582331,7.004992
6.5982631,3.2948146
6.6159755,3.5488523
5.6860067,8.06618
6.536685,3.299485
,
7.44498,3.907838
6.5971746,3.3926013
7.7286314,8.5218126
,
,
4.8426899,7.0481835
6.4413816,3.371536
8.6696207,3.3963806
,
6.7128663,3.3478824
,
,
5.0432429,7.9197522
11.1358419,7.6821125
6.5872192,3.3795451
7.4220671,3.9086769
,
,
,
,
,
6.6835537,3.2402849
6.5394736,3.3203711
,
10.5631168,7.4705352
,
33.5771214,-84.3786616
6.6055933,3.2685283
6.1673517,6.6276272
,
8.459555,4.5642283
6.4383131,3.3703584
,
6.5508067,3.3853502
,
6.4537352,3.3626771
,
6.6891717,3.35697
9.1129897,7.4058617
,
6.2129067,6.7006085
6.6031885,3.3784146
6.6419132,3.3472196
,
,
6.5864208,3.3983904
9.0065501,7.4602796
6.4662308,3.3281894
7.4332417,3.8335683
8.885381,7.2104513
6.5507422,3.3820655
6.5932182,3.3424486
8.9986317,7.4855975
6.4514111,3.2901027
,
8.9569917,7.344564
,
7.1470809,3.3229955
,
6.4540872,3.3843532
6.7320489,3.2254854
8.9803803,7.4567704
6.5204898,3.3820708
,
6.5927925,3.283042
6.4748539,3.6134945
6.502966,3.376451
7.3399732,3.8780466
,
6.6012443,3.3157667
,
9.0711047,7.423095
6.503515,3.3384194
,
10.2676783,9.7811167
4.8160167,7.0141933
6.1901477,6.7214334
6.5328149,3.379854
,
6.4394188,3.4373681
,
6.505618,3.3113851
6.5896961,3.33414
,
,
,
6.6532368,3.3392053
6.5413382,3.3066327
11.9885419,8.489229
,
9.0289273,7.5966869
7.6530143,5.2464095
6.5427586,3.24155
,
,
6.5311681,3.2833565
8.4801158,4.5622896
6.5007525,3.5952734
,
,
6.4633888,3.774967
,
,
,
,
6.6657111,3.3460821
,
8.4253538,4.5996904
6.8694483,3.6091283
,
4.867722,7.1087516
6.6456978,2.749517
6.6498717,3.5172463
6.6532733,3.3629816
,
4.7591623,7.0150685
6.4420013,3.4784832
12.4320167,4.102615
4.9327642,6.319015
,
6.4245449,5.601413
,
6.6784427,3.3567631
,
6.7447671,3.2585197
6.5910627,3.2791344
6.6930995,3.3450311
,
7.4481819,3.9848132
6.5977661,3.499863
8.9311329,7.0731816
7.1264632,3.3396787
6.293171,5.5999701
12.0047996,8.5616592
6.5095692,3.3286609
9.0676873,7.4645245
6.5708974,3.3968287
6.4310422,3.434849
6.5334087,3.297195
,
8.4485408,4.571379
4.8740955,7.101534
6.6828144,3.4896385
6.4351,3.416
,
6.4367383,3.4774513
6.619437,3.3791383
6.7925278,3.5701532
7.6932655,8.5527984
9.9265202,8.8867462
5.518951,7.4907184
,
4.8136577,7.0621124
6.6297912,3.3029506
,
6.6458291,3.2789541
