customerid,loannumber,loanamount,totaldue,termdays,bank_account_type,bank_name_clients,employment_status_clients,last_loan_amount,avg_amount,std_amount,avg_total_due,avg_term_days,std_term_days,avg_approval_time,avg_payout_time,prct_duedate_default,loan_growth_trend,max_repay_delay,avg_loan_gap,referred,age,state,acct_age_years,time_btwn_last_loan,default,credit_score,debt_to_loan_ratio,const_default,unusual_large
8a8588fd53c244bc0153c8305ea7338f,4,20000,22250,15,Savings,Zenith Bank,Student,10000,10000,0,12000,20,7.07,0,15.66666667,0,0,0,0.5,0,31,Abroad,9,396,1,4.26583806,1.1125,0,0
8a85895054a061920154a909b1a76c1d,12,30000,34500,30,Savings,First Bank,Permanent,30000,20000,8528.03,23156.82,24.54545455,7.22,0,24.18181818,0.272727273,2363.6364,13,14.5,0,55,Federal Capital Territory,9,4,0,4.001518573,1.15,0,0
8a8589b953bc23f70153c90114817143,7,30000,39000,60,Unknown,Unknown,Unknown,30000,15000,7637.63,19133.33,35,11.18,0,34.33333333,0,3714.2857,0,51.8,0,40,Unknown,9,4,1,4.082297575,1.3,0,0
8a858e02578f616401579484a4963345,12,30000,34500,30,Other,GT Bank,Self-Employed,30000,19090.91,7925.27,22236.36,24.54545455,7.22,0,23.54545455,0.272727273,2272.7273,5,1.6,0,45,Cross River,8,1,1,3.124654638,1.15,0,0
8a858e0b5cfa2028015d092b47e27e30,2,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,11500,15,0,0,9,0,0,0,0,0,40,Unknown,8,6,0,3.396541916,1.3,0,0
8a858e1556321b940156548b9ca970a6,12,40000,48000,60,Savings,Stanbic IBTC,Permanent,40000,20909.09,9958.59,23900,23.18181818,13.36,0,15.09090909,0.181818182,2545.4545,1,5.9,0,37,Ogun,8,10,0,3.485109677,1.2,0,0
8a858e195b90e512015ba0eb4eed5ef5,5,20000,24500,30,Unknown,Unknown,Unknown,20000,12500,4330.13,14750,18.75,6.5,0,17.25,0,3000,0,0,1,40,Unknown,8,0,0,3.396541916,1.225,0,0
8a858e205af28299015af50a799745c5,7,30000,39000,60,Savings,UBA,Permanent,20000,15000,5000,18383.33,27.5,5.59,0,19.83333333,0,2571.4286,0,0.2,0,41,Oyo,8,0,0,4.092382217,1.3,0,0
8a858e2e5bb57a37015bbe1b8d6d3830,3,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,27,0,0,0,0,0,40,Unknown,8,5,0,3.396541916,1.3,0,0
8a858e3559080830015923412dd84294,10,40000,44000,30,Unknown,Unknown,Unknown,40000,22222.22,10304.02,26000,30,0,0,22,0,3833.3333,0,0.125,0,40,Unknown,8,0,0,3.396541916,1.1,0,0
8a858e3e5b3ee747015b3f0409012b7f,5,30000,39000,60,Savings,Fidelity Bank,Permanent,20000,15000,5000,18750,30,0,0,21,0,4000,0,1,0,39,Anambra,8,0,0,4.072212932,1.3,0,0
8a858e4a5cac6f81015cad78a648389f,2,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,28,0,0,0,0,1,40,Unknown,8,0,0,3.396541916,1.3,0,0
8a858e575bf80f73015bfbc59df93401,3,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,20,0,0,0,8,1,40,Unknown,8,4,0,3.396541916,1.3,0,0
8a858e625c8d993a015c95e7ced318df,2,10000,13000,30,Savings,Access Bank,Permanent,10000,10000,0,13000,30,0,0,29,0,0,0,0,0,37,Oyo,8,10,0,4.052043648,1.3,0,0
8a858e655a047d1a015a12bb060936ff,3,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,32,0.5,0,7,0,0,40,Unknown,8,0,0,1.812563568,1.3,1,0
8a858e6e55c554c20155c6d8e2925c62,8,10000,13000,30,Savings,GT Bank,Unemployed,20000,14285.71,4948.72,17500,27.85714286,5.25,0,43.28571429,0.571428571,1428.5714,104,11,0,37,Lagos,9,4,0,1.816262501,1.3,1,0
8a858e785acd3412015acd7bdec42d4f,6,30000,34500,30,Savings,GT Bank,Permanent,20000,14000,4898.98,16550,21,7.35,0,17,0,3000,0,6.5,0,33,Ogun,8,0,0,4.01170508,1.15,0,1
8a858e875c63d395015c74bdfd343206,2,10000,13000,30,Savings,UBA,Student,10000,10000,0,11500,15,0,0,11,0,0,0,0,0,29,Lagos,8,8,0,3.559913117,1.3,0,0
8a858e8d56adbdae0156b30248fe3104,4,20000,24500,30,Unknown,Unknown,Unknown,20000,13333.33,4714.05,16833.33,30,0,0,29.66666667,0.333333333,5000,1,116.5,0,40,Unknown,9,0,0,3.047802927,1.225,0,0
8a858e985885ff6d01589211d7c01088,6,20000,24500,30,Savings,GT Bank,Permanent,20000,14000,4898.98,16150,18,6,0,14.6,0,3000,0,38,0,47,Lagos,8,8,0,4.152890069,1.225,0,0
8a858ea15ca2565c015ca6ed24977b5e,2,10000,13000,30,Savings,UBA,Permanent,10000,10000,0,13000,30,0,0,28,0,0,0,0,0,37,Ogun,8,1,0,4.052043648,1.3,0,0
8a858eaa55a0b8ae0155bab849c616a1,2,10000,13000,30,Other,Diamond Bank,Permanent,10000,10000,0,11500,15,0,0,11,0,0,0,0,0,38,Niger,8,0,0,4.06212829,1.3,0,0
8a858eb4596ff919015974a667560a89,8,30000,34500,30,Savings,First Bank,Permanent,30000,17142.86,6998.54,20371.43,25.71428571,6.78,0,23,0,3214.2857,0,1.8333,0,43,Ogun,8,0,0,4.112551501,1.15,0,0
8a858ec55b441639015b444e78b7361f,4,10000,11125,15,Unknown,Unknown,Unknown,10000,10000,0,11500,15,0,0,7.666666667,0,0,0,7,0,40,Unknown,8,22,0,3.396541916,1.1125,0,0
8a858ece5b0142e3015b0a3a7f183339,5,20000,24500,30,Unknown,Unknown,Unknown,20000,12500,4330.13,15875,30,0,0,27.75,0.25,3000,1,0.6667,0,40,Unknown,8,6,0,2.619205641,1.225,0,0
8a858eda552adcc20155307212b55ac2,11,30000,34500,30,Other,Diamond Bank,Self-Employed,30000,18000,6000,21760,28.5,4.5,0,28.1,0.5,1818.1818,10,13.1111,0,44,Lagos,9,0,0,3.069678843,1.15,1,0
8a858ee454da1cbd0154e2796fba7142,12,30000,34500,30,Other,UBA,Self-Employed,30000,20000,6030.23,24036.36,30,0,0,36.09090909,0.363636364,1272.7273,70,1.3,0,43,Cross River,9,0,1,3.128729241,1.15,0,0
8a858ee65a8401a1015a8447d2ac1cf2,6,20000,24500,30,Savings,Diamond Bank,Permanent,20000,14000,4898.98,17600,30,0,0,26.4,0,3000,0,2,0,48,Lagos,8,5,0,4.162974711,1.225,0,0
8a858eef5554890501555868a7475f44,8,15000,16687.5,15,Savings,Wema Bank,Permanent,15000,11428.57,2258.77,13189.29,17.14285714,5.25,0,19.85714286,0.571428571,892.8571,13,39.8333,0,51,Lagos,9,12,0,3.039417529,1.1125,1,0
8a858eff55a090650155a13892552a0b,2,10000,11500,15,Unknown,Unknown,Unknown,10000,10000,0,11500,15,0,0,14,0,0,0,0,0,40,Unknown,8,11,0,3.396541916,1.15,0,0
8a858f0656b7820c0156c3e3a61c1d33,15,50000,52500,30,Other,Access Bank,Permanent,40000,30000,10690.45,33742.86,25.71428571,6.78,0,20.5,0,2461.5385,0,1.6923,0,44,Lagos,9,0,0,4.808391801,1.05,0,0
8a858f0f5bfd79d2015c0331ce3378fe,2,10000,11500,15,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,23,0,0,0,0,0,40,Unknown,8,0,0,3.396541916,1.15,0,0
8a858f1f587161850158742ebbce53d8,9,30000,34500,30,Savings,GT Bank,Permanent,25000,17500,6123.72,20987.5,30,0,0,19.75,0,2500,0,10.4286,0,39,Federal Capital Territory,8,4,0,4.072212932,1.15,0,0
8a858f275c451af5015c49a2c43b5fb2,2,10000,13000,30,Savings,Sterling Bank,Permanent,10000,10000,0,13000,30,0,0,26,0,0,0,0,1,39,Lagos,8,24,0,4.072212932,1.3,0,0
8a858f305cb1ec4e015cb215f0500a8d,2,10000,13000,30,Savings,Access Bank,Permanent,10000,10000,0,13000,30,0,0,28,0,0,0,0,1,33,Kaduna,8,0,0,4.01170508,1.3,0,0
8a858f375cef1cbc015ceff67d505f59,2,10000,13000,30,Savings,Zenith Bank,Unknown,10000,10000,0,13000,30,0,0,25,0,0,0,0,0,38,Lagos,8,4,0,3.376372632,1.3,0,0
8a858f425b85835d015b85bfe40538db,2,10000,13000,30,Savings,Access Bank,Permanent,10000,10000,0,13000,30,0,0,24,0,0,0,0,0,40,Ogun,8,7,0,4.082297575,1.3,0,0
8a858f495c5973ce015c59c5f099417c,3,10000,13000,30,Savings,Skye Bank,Permanent,10000,10000,0,13000,30,0,0,26.5,0,0,0,0,0,41,Lagos,8,2,0,4.092382217,1.3,0,0
8a858f54589736f401589857085e3b5b,9,40000,44000,30,Savings,Access Bank,Student,30000,18750,7806.25,22525,31.875,11.71,0,26.375,0,3214.2857,0,2,0,33,Osun,8,3,0,3.600251685,1.1,0,1
8a858f585bfd6341015c03694f85158f,4,10000,11500,15,Savings,Access Bank,Permanent,10000,10000,0,11500,15,0,0,16.33333333,0,0,0,3.5,0,40,Akwa Ibom,8,2,0,4.082297575,1.15,0,0
8a858f5e5cf45779015cf47ed8db1872,2,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,13000,30,0,0,30,0,0,0,0,1,34,Federal Capital Territory,8,0,0,4.021789722,1.3,0,0
8a858f665c45930d015c54a24fdc1f6c,2,10000,11500,15,Savings,Diamond Bank,Permanent,10000,10000,0,11500,15,0,0,6,0,0,0,0,0,54,Enugu,8,34,0,4.223482563,1.15,0,0
8a858f6f5b3f095b015b4083532532a0,2,10000,13000,30,Savings,Access Bank,Permanent,10000,10000,0,13000,30,0,0,21,0,0,0,0,0,33,Lagos,8,16,0,4.01170508,1.3,0,0
8a858f7a5ca22d3c015ca24d01461879,2,10000,13000,30,Savings,GT Bank,Unemployed,10000,10000,0,13000,30,0,0,22,0,0,0,0,0,41,Lagos,8,5,0,3.54377769,1.3,0,0
8a858f8d5cc56f9a015cc57e769908ac,2,10000,13000,30,Savings,Access Bank,Permanent,10000,10000,0,13000,30,0,0,28,0,0,0,0,0,45,Rivers,8,2,1,4.132720785,1.3,0,0
8a858f965bb63a25015bc22b915e62f1,5,20000,22250,15,Savings,UBA,Permanent,20000,12500,4330.13,14187.5,15,0,0,14.5,0,3000,0,0.6667,0,30,Delta,8,3,0,3.981451154,1.1125,0,0
8a858f985b80ab2c015b81098b8f2c2e,4,20000,24500,30,Unknown,Unknown,Unknown,10000,10000,0,12500,25,7.07,0,7.666666667,0,0,0,3,0,40,Unknown,8,61,0,3.396541916,1.225,0,0
8a858fa15c8ceaaa015c8d79c65f4f86,2,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,13000,30,0,0,28,0,0,0,0,1,48,Kwara,8,0,0,4.162974711,1.3,0,0
8a858fa95b631878015b6401c15973f3,3,10000,11500,15,Unknown,Unknown,Unknown,10000,10000,0,11500,15,0,0,18.5,1,0,3,12,0,40,Unknown,8,4,1,0.293057974,1.15,1,0
8a858faf56b7821c0156b93cd62a6275,9,40000,48000,60,Savings,Stanbic IBTC,Permanent,40000,27500,11989.58,33412.5,48.75,14.52,0,33.625,0.125,5000,19,5.8571,0,45,Lagos,9,0,0,4.321376855,1.2,0,0
8a858fb45b3eef19015b3fa969390cd3,4,20000,22250,15,Savings,GT Bank,Permanent,10000,10000,0,12500,25,7.07,0,22.33333333,0,0,0,11,0,39,Lagos,8,15,0,4.072212932,1.1125,0,0
8a858fbd5cd6054a015ce82aa3914088,2,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,23,0,0,0,0,0,40,Unknown,8,10,0,3.396541916,1.3,0,0
8a858fca5c830943015c835e839e33a5,2,10000,11500,15,Savings,Access Bank,Unknown,10000,10000,0,11500,15,0,0,0,0,0,0,0,1,39,Oyo,8,27,0,3.386457274,1.15,0,0
8a858fcf5591c5cf015597c298cb15d9,2,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,8,0,0,0,0,0,40,Unknown,8,5,0,3.396541916,1.3,0,0
8a858fd55c45ba15015c4f06ea176506,3,10000,11500,15,Savings,Access Bank,Permanent,10000,10000,0,13000,30,0,0,27,0,0,0,0,1,51,Rivers,8,1,0,4.193228637,1.15,0,0
8a858fdf5bf85f71015bfc1f51f9690a,2,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,13000,30,0,0,54,1,0,23,0,0,39,Lagos,8,10,0,0.851505801,1.3,1,0
8a858fea5b391cd7015b3936e1ca25c8,5,20000,24500,30,Savings,GT Bank,Permanent,20000,12500,4330.13,15125,22.5,7.5,0,20.25,0,3000,0,1.3333,0,40,Rivers,8,1,0,4.082297575,1.225,0,0
8a858ff45be92ea2015be98bc2162c96,2,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,15,0,0,0,0,0,40,Unknown,8,2,0,3.396541916,1.3,0,0
8a858ffb5b350b52015b352574d219d9,4,20000,24500,30,Savings,Diamond Bank,Permanent,10000,10000,0,13000,30,0,0,25.66666667,0,0,0,6,0,38,Lagos,8,6,0,4.06212829,1.225,0,0
8a8589a453bc422d0153c993db2604b6,11,40000,44000,30,Savings,Stanbic IBTC,Permanent,40000,26500,11842.72,29625,24,7.35,0,19.8,0.1,3969.697,2,30,0,38,Kano,9,0,1,4.427571584,1.1,0,0
8a858e275c7ea5ec015c82482d7c3996,2,10000,13000,30,Savings,Sterling Bank,Permanent,10000,10000,0,13000,30,0,0,32,1,0,3,0,0,39,Ogun,8,0,1,0.96872899,1.3,1,0
8a858e885b68546c015b6cb377c12140,2,10000,13000,30,Savings,First Bank,Permanent,10000,10000,0,13000,30,0,0,31,0,0,0,0,0,38,Ogun,8,26,1,4.06212829,1.3,0,0
8a858ee65be8d42d015bea072bee5936,4,20000,24500,30,Savings,Stanbic IBTC,Unknown,10000,10000,0,12500,25,7.07,0,19.66666667,0,0,0,0,0,38,Lagos,8,0,1,3.376372632,1.225,0,0
8a858f3455a0d8070155c5fee7cc0a6d,2,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,41,1,0,11,0,0,40,Unknown,8,213,1,0.246168698,1.3,1,0
