loannumber,loanamount,totaldue,termdays,bank_account_type,bank_name_clients,employment_status_clients,last_loan_amount,avg_amount,std_amount,avg_total_due,avg_term_days,std_term_days,avg_approval_time,avg_payout_time,prct_duedate_default,loan_growth_trend,max_repay_delay,avg_loan_gap,referred,age,state,acct_age_years,time_btwn_last_loan,default,credit_score,debt_to_loan_ratio,const_default,unusual_large
8,30000.0,34500.0,30,Other,GT Bank,Permanent,20000.0,14285.71,4948.72,17928.57,30.0,0.0,0.0,22.571428571428573,0.0,2142.8571,0.0,1.6667,0,37.0,Nasarawa,8,3,0,4.052043648399384,1.15,0,1
9,20000.0,22250.0,15,Savings,GT Bank,Permanent,20000.0,17500.0,6614.38,20706.25,26.25,6.5,0.0,24.125,0.125,2380.9524,4.0,3.5714,0,50.0,Lagos,8,8,0,3.7739617990311833,1.1125,0,0
3,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,27.0,0.0,-0.0,0.0,2.0,0,40.0,Unknown,8,2,0,3.3965419159095984,1.3,0,0
6,20000.0,24500.0,30,Savings,Access Bank,Permanent,20000.0,14000.0,4898.98,17460.0,30.0,0.0,0.0,21.2,0.0,3000.0,0.0,3.0,0,63.0,Ekiti,8,28,0,4.314244341395299,1.225,0,0
3,10000.0,13000.0,30,Savings,Zenith Bank,Permanent,10000.0,10000.0,0.0,12250.0,22.5,7.5,0.0,22.5,0.0,-0.0,0.0,0.0,0,39.0,Ogun,8,0,0,4.072212932475993,1.3,0,0
4,10000.0,13000.0,30,Savings,GT Bank,Unknown,10000.0,10000.0,0.0,12000.0,20.0,7.07,0.0,24.333333333333332,0.6666666666666666,0.0,9.0,11.0,0,40.0,Lagos,8,0,1,1.2865245048182172,1.3,1,0
4,20000.0,24500.0,30,Other,UBA,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,24.333333333333332,0.0,0.0,0.0,0.0,0,38.0,Ogun,8,0,0,4.062128290437688,1.225,0,0
2,10000.0,11500.0,15,Savings,Access Bank,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,40.0,Lagos,8,1,0,3.3965419159095984,1.15,0,0
5,20000.0,24500.0,30,Unknown,Unknown,Unknown,20000.0,12500.0,4330.13,15875.0,30.0,0.0,0.0,24.25,0.0,3000.0,0.0,6.3333,0,40.0,Unknown,8,1,0,3.3965419159095984,1.225,0,0
2,10000.0,13000.0,30,Savings,First Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0,41.0,Oyo,8,10,0,4.092382216552601,1.3,0,0
5,20000.0,24500.0,30,Unknown,Unknown,Unknown,15000.0,11250.0,2165.06,14343.75,30.0,0.0,0.0,20.5,0.0,1500.0,0.0,13.3333,0,40.0,Unknown,8,2,0,3.3965419159095984,1.225,0,0
2,10000.0,13000.0,30,Savings,UBA,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,38.0,Federal Capital Territory,8,18,0,4.062128290437688,1.3,0,0
8,40000.0,48000.0,60,Savings,GT Bank,Self-Employed,30000.0,17142.86,8806.31,20800.0,30.0,19.64,0.0,17.857142857142858,0.14285714285714285,3928.5714,1.0,58.1667,0,49.0,Lagos,9,1,0,4.274959796878809,1.2,0,1
17,40000.0,44000.0,30,Other,GT Bank,Unemployed,40000.0,27500.0,11456.44,31459.38,29.0625,3.63,0.0,26.5625,0.1875,2323.5294,2.0,2.9333,0,55.0,Ogun,9,0,0,3.7803896809115822,1.1,0,0
4,20000.0,22250.0,15,Savings,Zenith Bank,Student,10000.0,10000.0,0.0,12000.0,20.0,7.07,0.0,15.666666666666666,0.0,0.0,0.0,0.5,0,31.0,Abroad,9,396,1,4.265838059611439,1.1125,0,0
12,30000.0,34500.0,30,Savings,First Bank,Permanent,30000.0,20000.0,8528.03,23156.82,24.545454545454547,7.22,0.0,24.181818181818183,0.2727272727272727,2363.6364,13.0,14.5,0,55.0,Federal Capital Territory,9,4,0,4.001518573136768,1.15,0,0
7,30000.0,39000.0,60,Unknown,Unknown,Unknown,30000.0,15000.0,7637.63,19133.33,35.0,11.18,0.0,34.333333333333336,0.0,3714.2857,0.0,51.8,0,40.0,Unknown,9,4,1,4.082297574514299,1.3,0,0
12,30000.0,34500.0,30,Other,GT Bank,Self-Employed,30000.0,19090.91,7925.27,22236.36,24.545454545454547,7.22,0.0,23.545454545454547,0.2727272727272727,2272.7273,5.0,1.6,0,45.0,Cross River,8,1,1,3.1246546382301177,1.15,0,0
2,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,40.0,Unknown,8,6,0,3.3965419159095984,1.3,0,0
12,40000.0,48000.0,60,Savings,Stanbic IBTC,Permanent,40000.0,20909.09,9958.59,23900.0,23.181818181818183,13.36,0.0,15.090909090909092,0.18181818181818182,2545.4545,1.0,5.9,0,37.0,Ogun,8,10,0,3.4851096773384675,1.2,0,0
5,20000.0,24500.0,30,Unknown,Unknown,Unknown,20000.0,12500.0,4330.13,14750.0,18.75,6.5,0.0,17.25,0.0,3000.0,0.0,0.0,1,40.0,Unknown,8,0,0,3.3965419159095984,1.225,0,0
7,30000.0,39000.0,60,Savings,UBA,Permanent,20000.0,15000.0,5000.0,18383.33,27.5,5.59,0.0,19.833333333333332,0.0,2571.4286,0.0,0.2,0,41.0,Oyo,8,0,0,4.092382216552601,1.3,0,0
3,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,27.0,0.0,-0.0,0.0,0.0,0,40.0,Unknown,8,5,0,3.3965419159095984,1.3,0,0
10,40000.0,44000.0,30,Unknown,Unknown,Unknown,40000.0,22222.22,10304.02,26000.0,30.0,0.0,0.0,22.0,0.0,3833.3333,0.0,0.125,0,40.0,Unknown,8,0,0,3.3965419159095984,1.1,0,0
5,30000.0,39000.0,60,Savings,Fidelity Bank,Permanent,20000.0,15000.0,5000.0,18750.0,30.0,0.0,0.0,21.0,0.0,4000.0,0.0,1.0,0,39.0,Anambra,8,0,0,4.072212932475993,1.3,0,0
2,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1,40.0,Unknown,8,0,0,3.3965419159095984,1.3,0,0
3,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,20.0,0.0,-0.0,0.0,8.0,1,40.0,Unknown,8,4,0,3.3965419159095984,1.3,0,0
2,10000.0,13000.0,30,Savings,Access Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0,37.0,Oyo,8,10,0,4.052043648399384,1.3,0,0
3,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,32.0,0.5,-0.0,7.0,0.0,0,40.0,Unknown,8,0,0,1.8125635677222491,1.3,1,0
8,10000.0,13000.0,30,Savings,GT Bank,Unemployed,20000.0,14285.71,4948.72,17500.0,27.857142857142858,5.25,0.0,43.285714285714285,0.5714285714285714,1428.5714,104.0,11.0,0,37.0,Lagos,9,4,0,1.8162625011389857,1.3,1,0
6,30000.0,34500.0,30,Savings,GT Bank,Permanent,20000.0,14000.0,4898.98,16550.0,21.0,7.35,0.0,17.0,0.0,3000.0,0.0,6.5,0,33.0,Ogun,8,0,0,4.011705080246167,1.15,0,1
2,10000.0,13000.0,30,Savings,UBA,Student,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0,29.0,Lagos,8,8,0,3.559913116930131,1.3,0,0
4,20000.0,24500.0,30,Unknown,Unknown,Unknown,20000.0,13333.33,4714.05,16833.33,30.0,0.0,0.0,29.666666666666668,0.3333333333333333,5000.0,1.0,116.5,0,40.0,Unknown,9,0,0,3.0478029271319964,1.225,0,0
6,20000.0,24500.0,30,Savings,GT Bank,Permanent,20000.0,14000.0,4898.98,16150.0,18.0,6.0,0.0,14.6,0.0,3000.0,0.0,38.0,0,47.0,Lagos,8,8,0,4.152890068782429,1.225,0,0
2,10000.0,13000.0,30,Savings,UBA,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0,37.0,Ogun,8,1,0,4.052043648399384,1.3,0,0
2,10000.0,13000.0,30,Other,Diamond Bank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0,38.0,Niger,8,0,0,4.062128290437688,1.3,0,0
8,30000.0,34500.0,30,Savings,First Bank,Permanent,30000.0,17142.86,6998.54,20371.43,25.714285714285715,6.78,0.0,23.0,0.0,3214.2857,0.0,1.8333,0,43.0,Ogun,8,0,0,4.112551500629211,1.15,0,0
4,10000.0,11125.0,15,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,7.666666666666667,0.0,0.0,0.0,7.0,0,40.0,Unknown,8,22,0,3.3965419159095984,1.1125,0,0
5,20000.0,24500.0,30,Unknown,Unknown,Unknown,20000.0,12500.0,4330.13,15875.0,30.0,0.0,0.0,27.75,0.25,3000.0,1.0,0.6667,0,40.0,Unknown,8,6,0,2.6192056405040587,1.225,0,0
11,30000.0,34500.0,30,Other,Diamond Bank,Self-Employed,30000.0,18000.0,6000.0,21760.0,28.5,4.5,0.0,28.1,0.5,1818.1818,10.0,13.1111,0,44.0,Lagos,9,0,0,3.0696788429381634,1.15,1,0
12,30000.0,34500.0,30,Other,UBA,Self-Employed,30000.0,20000.0,6030.23,24036.36,30.0,0.0,0.0,36.09090909090909,0.36363636363636365,1272.7273,70.0,1.3,0,43.0,Cross River,9,0,1,3.128729241073877,1.15,0,0
6,20000.0,24500.0,30,Savings,Diamond Bank,Permanent,20000.0,14000.0,4898.98,17600.0,30.0,0.0,0.0,26.4,0.0,3000.0,0.0,2.0,0,48.0,Lagos,8,5,0,4.162974710820733,1.225,0,0
8,15000.0,16687.5,15,Savings,Wema Bank,Permanent,15000.0,11428.57,2258.77,13189.29,17.142857142857142,5.25,0.0,19.857142857142858,0.5714285714285714,892.8571,13.0,39.8333,0,51.0,Lagos,9,12,0,3.039417528807105,1.1125,1,0
2,10000.0,11500.0,15,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0,40.0,Unknown,8,11,0,3.3965419159095984,1.15,0,0
15,50000.0,52500.0,30,Other,Access Bank,Permanent,40000.0,30000.0,10690.45,33742.86,25.714285714285715,6.78,0.0,20.5,0.0,2461.5385,0.0,1.6923,0,44.0,Lagos,9,0,0,4.808391801272214,1.05,0,0
2,10000.0,11500.0,15,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0,40.0,Unknown,8,0,0,3.3965419159095984,1.15,0,0
9,30000.0,34500.0,30,Savings,GT Bank,Permanent,25000.0,17500.0,6123.72,20987.5,30.0,0.0,0.0,19.75,0.0,2500.0,0.0,10.4286,0,39.0,Federal Capital Territory,8,4,0,4.072212932475993,1.15,0,0
2,10000.0,13000.0,30,Savings,Sterling Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1,39.0,Lagos,8,24,0,4.072212932475993,1.3,0,0
2,10000.0,13000.0,30,Savings,Access Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1,33.0,Kaduna,8,0,0,4.011705080246167,1.3,0,0
2,10000.0,13000.0,30,Savings,Zenith Bank,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0,38.0,Lagos,8,4,0,3.37637263183299,1.3,0,0
2,10000.0,13000.0,30,Savings,Access Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0,40.0,Ogun,8,7,0,4.082297574514297,1.3,0,0
3,10000.0,13000.0,30,Savings,Skye Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,26.5,0.0,-0.0,0.0,0.0,0,41.0,Lagos,8,2,0,4.092382216552601,1.3,0,0
9,40000.0,44000.0,30,Savings,Access Bank,Student,30000.0,18750.0,7806.25,22525.0,31.875,11.71,0.0,26.375,0.0,3214.2857,0.0,2.0,0,33.0,Osun,8,3,0,3.6002516850833484,1.1,0,1
4,10000.0,11500.0,15,Savings,Access Bank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,16.333333333333332,0.0,0.0,0.0,3.5,0,40.0,Akwa Ibom,8,2,0,4.082297574514297,1.15,0,0
2,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1,34.0,Federal Capital Territory,8,0,0,4.0217897222844705,1.3,0,0
2,10000.0,11500.0,15,Savings,Diamond Bank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,54.0,Enugu,8,34,0,4.22348256305056,1.15,0,0
2,10000.0,13000.0,30,Savings,Access Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0,33.0,Lagos,8,16,0,4.011705080246167,1.3,0,0
2,10000.0,13000.0,30,Savings,GT Bank,Unemployed,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,41.0,Lagos,8,5,0,3.5437776896688433,1.3,0,0
2,10000.0,13000.0,30,Savings,Access Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0,45.0,Rivers,8,2,1,4.132720784705819,1.3,0,0
5,20000.0,22250.0,15,Savings,UBA,Permanent,20000.0,12500.0,4330.13,14187.5,15.0,0.0,0.0,14.5,0.0,3000.0,0.0,0.6667,0,30.0,Delta,8,3,0,3.981451154131253,1.1125,0,0
4,20000.0,24500.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,12500.0,25.0,7.07,0.0,7.666666666666667,0.0,0.0,0.0,3.0,0,40.0,Unknown,8,61,0,3.3965419159095984,1.225,0,0
2,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1,48.0,Kwara,8,0,0,4.162974710820733,1.3,0,0
3,10000.0,11500.0,15,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,18.5,1.0,-0.0,3.0,12.0,0,40.0,Unknown,8,4,1,0.293057973762692,1.15,1,0
9,40000.0,48000.0,60,Savings,Stanbic IBTC,Permanent,40000.0,27500.0,11989.58,33412.5,48.75,14.52,0.0,33.625,0.125,5000.0,19.0,5.8571,0,45.0,Lagos,9,0,0,4.321376855315553,1.2,0,0
4,20000.0,22250.0,15,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,12500.0,25.0,7.07,0.0,22.333333333333332,0.0,0.0,0.0,11.0,0,39.0,Lagos,8,15,0,4.072212932475993,1.1125,0,0
2,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0,40.0,Unknown,8,10,0,3.3965419159095984,1.3,0,0
2,10000.0,11500.0,15,Savings,Access Bank,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39.0,Oyo,8,27,0,3.386457273871294,1.15,0,0
2,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0,40.0,Unknown,8,5,0,3.3965419159095984,1.3,0,0
3,10000.0,11500.0,15,Savings,Access Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,27.0,0.0,-0.0,0.0,0.0,1,51.0,Rivers,8,1,0,4.193228636935647,1.15,0,0
2,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,54.0,1.0,0.0,23.0,0.0,0,39.0,Lagos,8,10,0,0.8515058008240101,1.3,1,0
