customerid,state
8a858eb85886bdc30158acf926932eda,Lagos
8a858eba5c884d2a015c8c4c58c5088a,Rivers
8a858ec45577f83e01557eaf9f0b1f4c,Lagos
8a858ec95afc0922015affaaf5992c1a,Unknown
8a858ed45becf685015bed6fceb6498b,Lagos
8a858eda552adcc2015559532234110a,Lagos
8a858edb5bd936e4015be394167c4698,Ogun
8a858ee45b62dadc015b660294b5292e,Unknown
8a858eed5756fb0e0157576dda0129e5,Lagos
8a858ef95cf5154a015cf659212d26ce,Lagos
8a858f03582a54c301582f698a281700,Lagos
8a858f0a56ffda560157093acf144b87,Oyo
8a858f0f5d1df2ad015d219c38c87827,Unknown
8a858f185d1daff6015d279fcb900eef,Oyo
8a858f245a4cde1e015a4e6271fd6c46,Kwara
8a858f265c2187bd015c346b5bb74ea9,Unknown
8a858f295c8d307f015c9e4f9b771eed,Lagos
8a858f2f54e28d530154f3a9d35625d8,Lagos
8a858f375b493337015b4943d3aa1027,Federal Capital Territory
8a858f405d13c45f015d1407060e316e,Unknown
8a858f4e5ba5e8d3015ba9d8b01b3062,Ogun
8a858f565b683b56015b7b6b606e1ec9,Osun
8a858f5f55f82ae30155f91ba4250aea,Kano
8a858f6a5b1fa846015b1ff2a147401d,Federal Capital Territory
8a858f765c350480015c35105f3f04c1,Unknown
8a858f7c5be8dc45015be8eaadb90c0e,Lagos
8a858f8e5b8c34d3015b8f4fe5ca199d,Ondo
8a858f965c6950da015c6acefa5f661f,Lagos
8a858f99560bbe4501561d163d570cba,Kaduna
8a858f9f5679951a01568d9941453c97,Lagos
8a858fa25bd92c20015bda1a38cf5a24,Bayelsa
8a858fa55acd8061015ad0b778b013ea,Unknown
8a858fae5921beeb01592ad3c5c12bc1,Lagos
8a858fb557330de1015750e05ade4eb8,Osun
8a858fbc594a495c01596db4320c084a,Unknown
8a858fc9580b91da0158126363fb3f16,Unknown
8a858fd05bfd7d3c015c0cc8a1a86a92,Unknown
8a858fd55b8752ba015b895180e74ffe,Unknown
8a858fe45cd62cbf015cd63942a40385,Kwara
8a858fe8555f401f01556e0a6ac317b7,Rivers
8a858ff35c5f4d1d015c6379bbcf0adc,Federal Capital Territory
8a858ffa55ca72a50155de6808cd2f3f,Unknown
8a858ffd5c8d343d015c978f755b7fbe,Lagos
8a858e065ccb8bc0015cce72dd475bfc,Osun
8a858e6d5b62e36f015b668ed4dc3aaa,Katsina
8a858eb95a8f9e4c015a91f3f9dc6d7a,Unknown
8a858f045bc9690c015bcabf87506275,Federal Capital Territory
8a858f3a58b5b0fe0158b6ca51f756ce,Bayelsa
8a858f6b570f2de9015721e9fbb40ecf,Lagos
8a858fb959976ce001599c31ae157981,Enugu
8a858ff259d1429e0159d2d0194c4b8e,Kwara
8a85883353e2e4e40153f068a4634e02,Unknown
8a8588b75438f49901544510041e0951,Unknown
8a8588f5542eb0d401542f48f0381490,Federal Capital Territory
8a85890754145ace01542184054739e2,Lagos
8a85896653e2e18b0153ea4c2b00049f,Anambra
8a8589c1545181f301547d2cfb142ff4,Lagos
8a858e045b495c30015b4f8417aa61c4,Ogun
8a858e105bd92644015bdd374f0d1a3a,Rivers
8a858e185b4923b4015b49f7165a4acd,Federal Capital Territory
8a858e225a28c713015a33e7c0bf5ed8,Lagos
8a858e2c5cc64f70015cc942825e71ae,Lagos
8a858e395cb1d4d9015cba9fbb6e6e2c,Lagos
8a858e3e5922ba4301593831652558a5,Lagos
8a858e4f58b9f0b40158c027a53e65a8,Oyo
8a858e585693982b0156b6329ee229d6,Unknown
8a858e615c832be8015c87cc64661017,Lagos
8a858e675cc6685e015cc6eb279c3e84,Federal Capital Territory
8a858e6c5c88d145015c894de1a91c5c,Ogun
8a858e705668e167015685e1e07c19d4,Rivers
8a858e7855113fb70155136433e942c9,Lagos
8a858e7d5d328208015d3409dd464483,Kaduna
8a858e905ce98e8d015cede36efc025d,Ondo
8a858eae5bb5beb8015bb947fd2f4f4d,Lagos
8a858eb55cf45581015cf47853d613db,Oyo
8a858ec959f3d0320159f411f586198d,Unknown
8a858ed55c5f1965015c5f58ecbc2069,Kano
8a858edb5a70bfe0015a7ef6715642d0,Ogun
8a858ee055ffbe17015607e67cec57e9,Unknown
8a858ee755a0c84a0155a3b5a9ab2308,Kaduna
8a858eef55548905015554a9578505d4,Ogun
8a858f00590ac4e70159320caa4a190c,Unknown
8a858f045bab240c015baf9e44646d76,Unknown
8a858f0f5bfd79d2015c0c2370d436a1,Unknown
8a858f1b5b256bc9015b2a8b75dc0b45,Lagos
8a858fa154e2912f0155065fcda06f84,Unknown
8a858fa3552ae1120155398656a154c3,Lagos
8a858faa56dffac60156ffa41b542ce7,Lagos
8a858fb15b34a708015b37eeb86e0008,Lagos
8a858fba5cd5feee015cdb7399184dc9,Osun
8a858fbf5b3a0b46015b3d5e8fae2a65,Lagos
8a858fcb5bab1fda015baebcd3791586,Ogun
8a858fd35b5dfefb015b5e080dc50892,Ogun
8a858fda5c3b0f1c015c403b1f5c301c,Unknown
8a858fe5569398920156b644671b0f2a,Unknown
8a858fed5cabd3a0015cac23520a3743,Delta
8a858ff85b339568015b33e96b393bff,Lagos
8a858ffb5d1832fd015d184b6ad80f09,Unknown
8a76e7d443e6e97c0143ed0a13cb4f61,Lagos
8a858e255b910db1015ba0f1568c39f8,Ondo
8a858ea55b58f026015b599e472439d2,Ogun
8a858ed25ba09f98015ba9a3696f65db,Benue
8a858f265c2187bd015c3402a9e52573,Unknown
8a858f555cc65d60015cc87c7641417a,Delta
8a858f8e5d0dc74e015d0de015760ef2,Ogun
8a858fe8555f401f01556dbd487e78d5,Unknown
8a85881053bc33670153c9dc2e3a4393,Lagos
8a85888c548fb3d501549748043c4fc2,Lagos
8a8588dc5384a05f0153982119c81a51,Borno
8a8588fd53e2e6cf0153ec3302de1278,Unknown
8a85893d53f104eb015409d628cd0e46,Ondo
8a8589a453bc422d0153c7b616f60646,Kano
8a858e0156b782a10156c2f83bd248f2,Lagos
8a858e0b5d1d8104015d1db8dcf31765,Plateau
8a858e135c7e2eec015c813211a96674,Kwara
8a858e2155defefd0155e88ca1b22485,Lagos
8a858e245c5f3f7c015c63d531167c8a,Cross River
8a858e345be813ea015be81b372e07dd,Lagos
8a858e3c5853733801585dadb1334a2e,Unknown
8a858e495d1e235c015d2bcddad44cd9,Unknown
8a858e545cf8f7eb015cf918d0ed129a,Lagos
8a858e5d5bf3454f015bf3c38c482aa5,Lagos
8a858e655a047d1a015a0daaf9874735,Unknown
8a858e695d18c7a1015d1c3e840913e6,Kaduna
8a858e6d5b252065015b2fa1ee3843da,Lagos
8a858e715bd3fa19015bd7d998442e30,Kwara
8a858e7b55deef140155e587fc3b63ba,Lagos
8a858e885c63d379015c6ed663042002,Ogun
8a858e995ccb5414015ccc4147cb4bc8,Unknown
8a858eb25cf38c4b015cf3d1cb702960,Cross River
8a858eba5b681df4015b703c75a501bc,Oyo
8a858ed25b1b19eb015b1b59dc1b15a7,Oyo
8a858ed759d079530159d127708943f6,Lagos
8a858edd56236fc8015623c3a4f40467,Lagos
8a858ee159de9b420159dee292301739,Osun
8a858eea5a232d51015a2452529c1455,Lagos
8a858ef258d4a48b0158e9fb404a4f72,Unknown
8a858f0455d9feaf0155e0332396619d,Lagos
8a858f0d58a18ebc0158b0ec239828b8,Unknown
8a858f13556665aa015572d6e7b872de,Oyo
8a858f265b1416a5015b145705f24eb2,Kaduna
8a858f2d5853901a015861e6f6315db1,Lagos
8a858f365b2547f3015b30981af37cb7,Lagos
8a8588235384a58d01538b5b8d49372c,Unknown
8a858887545183ca01546142802e4b4e,Lagos
8a8588fd53c244bc0153c74fad72587f,Lagos
8a85893d53f104eb0153fec8703465f1,Unknown
8a8589a453bc422d0153c7d857e0190f,Lagos
8a858e0156b782a10156e09c0f90725b,Kaduna
8a858e0a5a85cfaa015a89b1af345719,Lagos
8a858e125c358780015c35aad25310ef,Delta
8a858e195af64338015af6bc45ef5aef,Lagos
8a858e1e54e2aa5a0155059eabfa7cc1,Federal Capital Territory
8a858e2d565657b1015663ff20d43576,Oyo
8a858e345be813ea015be87d70855b44,Oyo
8a858e3d570f30bb0157146c32c418b7,Edo
8a858e495cef1ef1015cf33d14dd7935,Federal Capital Territory
8a858e5555780ea001557c46f2c91d97,Federal Capital Territory
8a858e615c832be8015c86f0d1082a70,Lagos
8a858e64590ae20001592265cda16d7b,Nasarawa
8a858e6c5c88d145015c8cf7a5e17156,Unknown
8a858e7655072083015517c8fe5b2942,Lagos
8a858e875b910dfe015b917802c4282b,Ogun
8a858e8a5c1c14b8015c208abf11720a,Oyo
8a858e955aeb055e015aebee294a5a85,Enugu
8a858e9d59e0997b0159ea88a18970b1,Lagos
8a858ea55b58f026015b5c11ad2e2dd2,Unknown
8a858eb456e0b9490156fb7018a91a1e,Ogun
8a858eba5591bf2801559ae75c8d32bc,Lagos
8a858ece586263020158696870092f98,Lagos
8a858ed65bd3a65c015bd3e9a0ff2664,Unknown
8a858edf55ca17ba0155d58ee8d43f6a,Oyo
8a858ee55cb156e6015cbd3d5e3555c2,Lagos
8a858eed5a42df95015a45e2fcac6aa9,Lagos
8a858efe5bca0a81015bca60dfdc14bb,Oyo
8a858f045556eaa401556dd7346663fc,Unknown
8a858f0d5ca1cf54015ca237f4843b09,Lagos
8a858f1a5bd828f9015bd85e04b824f8,Lagos
8a858f275591bf5d0155968869002f72,Unknown
8a858f2f5af5d835015af5db88300242,Unknown
8a858f365c83961c015c83a6989c054c,Kano
8a858f415686c0ab0156932bc72861e0,Unknown
8a858f475c11bc72015c1241c5e8477f,Ekiti
8a858f505ca7b434015cab87f6cb61ed,Lagos
8a858f5856373f8801564a639d9d6aba,Lagos
8a858f5e5cb23c77015cb617d25a6080,Unknown
8a858f665c2142a0015c2eceb8672f3f,Lagos
8a858f6e5cb16eb9015cba9514502da3,Federal Capital Territory
8a858f795896e56b0158a52e3f196868,Ondo
8a858f845d13beed015d161cb56d72d7,Federal Capital Territory
8a858f925d5bfd0a015d5c41ca480d60,Unknown
8a858f98560bbe110156217f2b324081,Lagos
8a858fa154daefc00154de1b445805fa,Rivers
8a858fa7590af88501591230cd1c34b0,Unknown
8a858faf5679a838015679dda1481bfb,Unknown
8a858fb4563228d201563e3b46c90a86,Lagos
8a858fbd5cd6054a015cda142858051a,Imo
8a858fc75cd62882015ce320d4b64f4d,Delta
8a858fcd56b9f22c0156d8afaef02fd8,Ogun
8a858fd55577e87601557eb6810f1310,Oyo
8a858fda5d37b00c015d3ba42a19619e,Lagos
8a858f3c5c16cadb015c171ebcfb30b6,Unknown
8a858f445d41ebbe015d4d646b946dec,Unknown
8a858f525ba5119c015ba5a39b6c5444,Lagos
8a858f615591c2cc015598dface34f3a,Benue
8a858f675c1c43bc015c209f0e59388c,Ogun
8a858f795896e56b0158a47b8be660c5,Unknown
8a858f7d5ab3ca4b015ab5184798706a,Oyo
8a858f8a558227f20155862e521949ca,Ondo
8a858f905c06a9c0015c0c8fca8c6706,Oyo
8a858f985bee01cb015bf16ec19f5383,Unknown
8a858f9d5668e3f101567827de3b11f2,Lagos
8a858fa154e2912f0154eee022676b1c,Federal Capital Territory
8a858fa4552add9f01553e7f443c4214,Unknown
8a858fa55acd8061015ad15eb8b47940,Cross River
8a858fb15a41784f015a41921e4c142b,Lagos
8a858fbb5bf26814015bf27f571811dd,Lagos
8a858fc75cd62882015ce3990b726a9b,Lagos
8a858fcf5b39c3ba015b3b269d573d36,Lagos
8a858fd95c3b5bca015c43d710a059bb,Ogun
8a858fe756939bbb0156993f3dda2d08,Lagos
8a858fef570f30e501572962ab8f7a1f,Plateau
8a858ff556236fa801562d3353964355,Lagos
8a8588fd53c244bc0153c72ed1924a60,Federal Capital Territory
8a858e325b3e903a015b3eb4ce4b2882,Lagos
8a858e605ce99f55015ced0a99a63ba4,Unknown
8a858ecc5b5defb4015b5ea3f3613ec1,Katsina
8a858f2a5ce989dd015ce9fc24b1474b,Ogun
8a858f68587f3da1015880ef5d8805b4,Osun
8a858fc45c21da6f015c31f01ed74654,Lagos
8a1088a0484472eb01484669e3ce4e0b,Lagos
8a8588235375c27f01537f79100c40c3,Osun
8a85889853f0fbaa01540444629832e2,Delta
8a85892e5425ad2001543095054f5b28,Unknown
8a858966538deb190153a778edfb61aa,Unknown
8a8589a453bc422d0153c82e861c34f1,Lagos
8a8589f853f100fb01540a6faacb4e74,Unknown
8a858e0256b781d80156c09f1e585c2f,Ondo
8a858e065ccb8bc0015ccbf7b21c1875,Rivers
8a858e105bd92644015be07c35237d0d,Unknown
8a858e2159f3c9030159f4336f1925f4,Rivers
8a858e285ba4bf33015ba50277171d93,Rivers
8a858e36590808e3015917a6dae57137,Unknown
8a858e4f5929c3df01595086e6cd773f,Unknown
8a858e5b5bd99460015be7d577b04e0d,Lagos
8a858e675c3fe0a1015c415368c24fb1,Lagos
8a858e6d58b0cc520158b4bcc7f61ef2,Unknown
8a858e705b3a03c7015b3d4d6eca680c,Delta
8a858e785c8d9167015c9b1641a0092e,Lagos
8a858e8d5bf2d0c1015bf34ffdc94e1a,Federal Capital Territory
8a858e935b496584015b496cdac50369,Lagos
8a858e985885ff6d0158aa2ce6772cff,Nasarawa
8a858eae5a42129d015a421fa6270603,Lagos
8a858eb85cef9327015cf30509cf2230,Unknown
8a858ec05a9535db015a9b7e03650141,Unknown
8a858ec75bfd77c4015bff1610173ed1,Lagos
8a858ed75732b68101574d1614f23803,Unknown
8a858ede5ca210f0015ca6e7144b3d34,Rivers
8a858ee1578e399501579186cb2d6283,Unknown
8a858f2a5b3f2121015b41d14e202aba,Unknown
8a858f30551130db0155130b0d0652c4,Delta
8a858f385b34d285015b34e6dbbb1309,Unknown
8a858f3e589c40610158a57d427715a6,Oyo
8a858f4c5bb597f6015bbdbff82d4971,Lagos
8a858f5e5566567d0155777b44e00cfa,Lagos
8a858f655baa9ae1015baf6547472776,Lagos
8a858f735aec46c4015af02a90835ac8,Benue
8a858f7b5763d88001576be2678d67c6,Unknown
8a858f7e5c213ef4015c2a8b9fe20181,Unknown
8a858f8e59d0b8930159d10900473713,Ogun
8a858f925d3c3cad015d3c4541e2059f,Unknown
8a858f9c56aaf37d0156b7221dc522d4,Ogun
8a858f9f5bd99987015be7d0e0f4085f,Federal Capital Territory
8a858fa25c120898015c16abe1cb45f4,Kaduna
8a858fa45bd95e9a015be29a6b136061,Unknown
8a858fad5ccb633e015ccb8973e511bc,Unknown
8a858fb75b5894aa015b589fd7720a85,Federal Capital Territory
8a858fc45c5f93be015c61e0e5e55e38,Lagos
8a858fcd56b9f22c0156bc268ef56102,Akwa Ibom
8a858fd3552c75620155563fb5241458,Nasarawa
8a858fe45cd62cbf015ce8f815230bc2,Rivers
8a858fe95afc0665015affd8827a642b,Lagos
8a858ff25c8250c1015c827e15821e4e,Delta
8a858ffd5c8d343d015c98e84c9c2a13,Oyo
8a858e0156b782a10156beb5c215582e,Federal Capital Territory
8a858e4b5cb1e4d7015cbf51622434f2,Unknown
8a858e885c9c6f96015ca07a1fe371fd,Lagos
8a858f0c5cc68025015cca6d2f6873fd,Lagos
8a858f585cf9d48b015d0a258b75758a,Unknown
8a858fb15b34a708015b360a67c61f3a,Rivers
8a858fe756939bbb0156b42e72185f25,Unknown
8a85880353acff880153b23e3c742a08,Ogun
8a85886f54517ee0015470749d3c3ce7,Edo
8a8588fd53c244bc0153c8251f132fd7,Unknown
8a85893d53f104eb01540e7f589775c3,Unknown
8a85896653f0fed201540f40a3a45c14,Oyo
8a8589c1545181f3015454b4cdd9002b,Ogun
8a858e005ca7abe3015ca9c692843861,Oyo
8a858e035693e0290156b6bd3b483170,Ogun
8a858e0a5668e69c01566f643ad645a9,Lagos
8a858e1d5cd58f9e015cd8c747ad7d06,Kwara
8a858e245c214660015c270224c83207,Federal Capital Territory
8a858e345bd96da8015bd9def9c624f6,Unknown
8a858e455c1bf763015c1c4eab062420,Kwara
8a858e5856b7840c0156b8f1f61f5f52,Lagos
8a858e5f5af1e7e7015af206af7b09d8,Bauchi
8a858e6c5bd3fbff015bd5736e545cd2,Lagos
8a858e6f5668e01701568cf7ba8e39da,Delta
8a858e725c360240015c3797bd734cf7,Lagos
8a858e885b68546c015b789214a9131c,Lagos
8a858e8e5ca1f1a8015ca6a8cfcb31f4,Unknown
8a858e935cedfe55015cee2ad92f236f,Lagos
8a858ea45b35639b015b364dc0f72463,Niger
8a858eb4588604f701589223c5ab045f,Lagos
8a858eba5c884d2a015c936df7c60af3,Lagos
8a858ec35a428dcc015a4667481262fe,Lagos
8a858fe65675195a015679452588279c,Federal Capital Territory
8a858ff25a6a19ee015a6acc4a986c80,Lagos
8a858ff9580b881201581f5624ee7a1b,Oyo
8a8588b75438f499015444b1adf70876,Akwa Ibom
8a858e1c5bab1191015baca490325254,Ogun
8a858e6f5668e01701568392953a495d,Ebonyi
8a858ed75bb64559015bbdf931c10be3,Abroad
8a858f295c8d307f015c95b5b13724f7,Nasarawa
8a858f685a384e25015a39302e0d48a9,Lagos
8a858fc959bc56c80159c034e75a05be,Ondo
8a858fee580afd2b01580c5b0ff97399,Rivers
